project_id,field,value,source,note
104,new_build,NO,collaborator-sheet,
104,restricted_units,27,collaborator-sheet,fills blank
104,address,"247 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
105,new_build,NO,collaborator-sheet,
105,restricted_units,49,collaborator-sheet,fills blank
105,address,"808 S. Hobart Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
106,new_build,NO,collaborator-sheet,
106,restricted_units,48,collaborator-sheet,fills blank
106,address,"454 S. Catalina Street, Los Angeles, CA",collaborator-sheet,fills blank
107,new_build,NO,collaborator-sheet,
107,restricted_units,43,collaborator-sheet,fills blank
107,address,"103 S. Edgemont Street, Los Angeles, CA 90004",collaborator-sheet,fills blank
108,new_build,NO,collaborator-sheet,
108,restricted_units,38,collaborator-sheet,fills blank
108,address,"974 S. Gramercy Place, Los Angeles, CA",collaborator-sheet,fills blank
109,new_build,NO,collaborator-sheet,
109,restricted_units,32,collaborator-sheet,fills blank
109,address,"832 Irolo Street, Los Angeles, CA",collaborator-sheet,fills blank
110,new_build,NO,collaborator-sheet,
110,total_units,42,collaborator-sheet,differs from generated: '24'
110,restricted_units,42,collaborator-sheet,fills blank
110,address,"941 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
111,new_build,NO,collaborator-sheet,
111,investor_1,K3 Holdings,collaborator-sheet,fills blank
111,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
111,total_units,40,collaborator-sheet,fills blank
111,restricted_units,40,collaborator-sheet,fills blank
111,address,"426 S. Manhattan Place, Los Angeles, CA",collaborator-sheet,fills blank
111,city_cut,6000,collaborator-sheet,fills blank
112,new_build,NO,collaborator-sheet,
112,restricted_units,40,collaborator-sheet,fills blank
112,address,"260 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
113,new_build,NO,collaborator-sheet,
113,restricted_units,32,collaborator-sheet,fills blank
113,address,"739 S. Normandie Avenue, Los Angeles, CA",collaborator-sheet,fills blank
114,new_build,NO,collaborator-sheet,
114,restricted_units,20,collaborator-sheet,fills blank
114,address,"1111 S. Norton Avenue, Los Angeles, CA 90019",collaborator-sheet,fills blank
115,new_build,NO,collaborator-sheet,
115,restricted_units,60,collaborator-sheet,fills blank
115,address,"975-985 S. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
116,new_build,NO,collaborator-sheet,
116,restricted_units,73,collaborator-sheet,fills blank
116,address,"960 S. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
117,new_build,NO,collaborator-sheet,
117,restricted_units,55,collaborator-sheet,fills blank
117,address,"3715 W. 1st Street, Los Angeles, CA",collaborator-sheet,fills blank
118,new_build,NO,collaborator-sheet,
118,restricted_units,40,collaborator-sheet,fills blank
118,address,"515 S. St. Andrews Place, Los Angeles, CA 90020",collaborator-sheet,fills blank
119,new_build,NO,collaborator-sheet,
119,investor_1,K3 Holdings,collaborator-sheet,fills blank
119,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
119,total_units,59,collaborator-sheet,fills blank
119,restricted_units,59,collaborator-sheet,fills blank
119,address,"516 S. St. Andrews Place, Los Angeles, CA 90020",collaborator-sheet,fills blank
119,city_cut,8850,collaborator-sheet,fills blank
120,new_build,NO,collaborator-sheet,
120,scc_filed,True,collaborator-sheet,
120,city,Unincorporated,collaborator-sheet,differs from generated: 'Sacramento'
120,restricted_units,272,collaborator-sheet,fills blank
120,address,"2345 Northrop Ave, Sacramento, CA 95825",collaborator-sheet,fills blank
120,city_cut,40800,collaborator-sheet,fills blank
131,new_build,NO,collaborator-sheet,
131,restricted_units,37,collaborator-sheet,fills blank
131,address,"1260 Grove St, Healdsburg, CA 95448",collaborator-sheet,fills blank
160,new_build,NO,collaborator-sheet,
160,restricted_units,16,collaborator-sheet,fills blank
160,address,"3048 W. 12th Street, CA 90006",collaborator-sheet,fills blank
121,new_build,NO,collaborator-sheet,
121,investor_1,K3 Holdings,collaborator-sheet,fills blank
121,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
121,total_units,30,collaborator-sheet,fills blank
121,restricted_units,30,collaborator-sheet,fills blank
121,address,"130 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
121,city_cut,4500,collaborator-sheet,fills blank
122,new_build,NO,collaborator-sheet,
122,restricted_units,39,collaborator-sheet,fills blank
122,address,"861 Fedora Street, Los Angeles, CA",collaborator-sheet,fills blank
123,new_build,NO,collaborator-sheet,
123,restricted_units,48,collaborator-sheet,fills blank
123,address,"200 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
124,new_build,NO,collaborator-sheet,
124,restricted_units,18,collaborator-sheet,fills blank
124,address,"915 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
125,new_build,NO,collaborator-sheet,
125,property_name,Kingsley Apartments,collaborator-sheet,differs from generated: 'Kinglsey Apartments'
125,restricted_units,45,collaborator-sheet,fills blank
125,address,"530 Kingsley Drive, Los Angeles, CA",collaborator-sheet,fills blank
126,new_build,NO,collaborator-sheet,
126,restricted_units,40,collaborator-sheet,fills blank
126,address,"727 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
127,new_build,NO,collaborator-sheet,
127,restricted_units,23,collaborator-sheet,fills blank
127,address,"750-752 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
128,new_build,NO,collaborator-sheet,
128,restricted_units,48,collaborator-sheet,fills blank
128,address,"520 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
129,new_build,NO,collaborator-sheet,
129,restricted_units,32,collaborator-sheet,fills blank
129,address,"207 N. Oxford Avenue, Los Angeles, CA",collaborator-sheet,fills blank
130,new_build,NO,collaborator-sheet,
130,restricted_units,76,collaborator-sheet,fills blank
130,address,"1057 S. Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
135,new_build,YES,collaborator-sheet,
135,restricted_units,52,collaborator-sheet,fills blank
135,address,"236 N. Berendo Street., Los Angeles, CA",collaborator-sheet,fills blank
134,new_build,YES,collaborator-sheet,
134,total_units,68,collaborator-sheet,differs from generated: '69'
134,restricted_units,68,collaborator-sheet,fills blank
134,address,"10705 Avalon Blvd, Los Angeles, CA",collaborator-sheet,fills blank
132,restricted_units,78,collaborator-sheet,fills blank
132,address,"7524 S. Hoover St, Los Angeles, CA",collaborator-sheet,fills blank
136,investor_1,Ethos Real Estate,collaborator-sheet,fills blank
136,restricted_units,260,collaborator-sheet,fills blank
136,address,"5805 Charlotte Drive, San Jose, CA 95123",collaborator-sheet,"differs from generated: '5805 Charlotte Drive, San Jose, CA'"
141,new_build,NO,collaborator-sheet,
141,built,1984,collaborator-sheet,
141,restricted_units,278,collaborator-sheet,fills blank
141,address,"5669 N Fresno St, Fresno, CA 93710",collaborator-sheet,fills blank
137,new_build,YES,collaborator-sheet,
137,total_units,41,collaborator-sheet,differs from generated: '42'
137,restricted_units,41,collaborator-sheet,fills blank
137,address,"18337 Kittridge St, Reseda, CA 91335",collaborator-sheet,fills blank
142,restricted_units,116,collaborator-sheet,fills blank
142,address,"9033 Ramsgate Avenue, Westchester, CA",collaborator-sheet,fills blank
143,new_build,NO,collaborator-sheet,
143,scc_filed,True,collaborator-sheet,
143,property_name,Coliseum Transit Village,collaborator-sheet,differs from generated: 'Coliseum Connections Transit Village Apartments'
143,restricted_units,55,collaborator-sheet,fills blank
143,address,"805 71st Avenue, Oakland, CA",collaborator-sheet,fills blank
140,new_build,NO,collaborator-sheet,
140,manual_status,stale,collaborator-sheet,
140,restricted_units,148,collaborator-sheet,fills blank
140,address,"1180 Lochinvar Ave, Sunnyvale, CA 94087",collaborator-sheet,fills blank
139,new_build,NO,collaborator-sheet,
139,manual_status,dead,collaborator-sheet,
139,nonprofit_partner,Community HousingWorks,collaborator-sheet,fills blank
139,restricted_units,286,collaborator-sheet,fills blank
139,address,"5210 Monterey Rd, San Jose, CA 95111",collaborator-sheet,fills blank
138,new_build,NO,collaborator-sheet,
138,scc_filed,True,collaborator-sheet,
138,city,San Jose,collaborator-sheet,differs from generated: 'Santa Clara'
138,restricted_units,114,collaborator-sheet,fills blank
138,address,"3765 Tamarack Ln, Santa Clara, CA 95051",collaborator-sheet,fills blank
146,new_build,YES,collaborator-sheet,
146,restricted_units,40,collaborator-sheet,fills blank
146,address,"7655 S San Pedro St, Los Angeles, CA 90003",collaborator-sheet,fills blank
147,new_build,NO,collaborator-sheet,
147,scc_filed,True,collaborator-sheet,
147,manual_status,stale,collaborator-sheet,
147,property_name,Coliseum Connections,collaborator-sheet,differs from generated: 'Coliseum Connections Transit Village Apartments'
147,restricted_units,55,collaborator-sheet,fills blank
147,address,"805 71st Avenue, Oakland, CA",collaborator-sheet,fills blank
148,new_build,NO,collaborator-sheet,
148,built,1929,collaborator-sheet,
148,manual_status,dead,collaborator-sheet,
148,restricted_units,170,collaborator-sheet,fills blank
148,address,"2424 Wilshire Blvd, Los Angeles, CA 90057",collaborator-sheet,fills blank
149,new_build,NO,collaborator-sheet,
149,manual_status,dead,collaborator-sheet,
149,restricted_units,61,collaborator-sheet,fills blank
149,address,"841 S Serrano Ave, Los Angeles, CA 90005",collaborator-sheet,fills blank
150,new_build,NO,collaborator-sheet,
150,manual_status,dead,collaborator-sheet,
150,property_name,Langham Apartments,collaborator-sheet,differs from generated: 'The Langham Apartments'
150,restricted_units,181,collaborator-sheet,fills blank
150,address,"715 Normandie Ave, Los Angeles, CA 90005",collaborator-sheet,fills blank
151,new_build,NO,collaborator-sheet,
151,manual_status,dead,collaborator-sheet,
151,property_name,Piccadilly Apartments,collaborator-sheet,differs from generated: 'The Piccadilly Apartments'
151,restricted_units,74,collaborator-sheet,fills blank
151,address,"682 Irolo Street, Los Angeles, CA",collaborator-sheet,fills blank
152,new_build,NO,collaborator-sheet,
152,total_units,152,collaborator-sheet,differs from generated: '52'
152,restricted_units,152,collaborator-sheet,fills blank
152,address,"5565 Ackerfield Avenue / 5700 Ackerfield Avenue, Long Beach, CA",collaborator-sheet,fills blank
153,new_build,NO,collaborator-sheet,
153,built,1990,collaborator-sheet,
153,restricted_units,101,collaborator-sheet,fills blank
153,address,"12100 226th St, Hawaiian Gardens, CA 90716",collaborator-sheet,fills blank
154,new_build,NO/YES,collaborator-sheet,
154,restricted_units,216,collaborator-sheet,fills blank
154,address,"2000 Crystal Springs Rd, San Bruno, CA 94066",collaborator-sheet,fills blank
155,new_build,NO,collaborator-sheet,
155,built,1974,collaborator-sheet,
155,entity,TBD LP,collaborator-sheet,differs from generated: 'A limited partnership to be formed by Kairos Investment Mana'
155,restricted_units,120,collaborator-sheet,fills blank
155,address,"1070 San Miguel Road, Concord, CA",collaborator-sheet,fills blank
156,new_build,NO,collaborator-sheet,
156,built,1969,collaborator-sheet,
156,entity,TBD LP,collaborator-sheet,differs from generated: 'A limited partnership to be formed by Kairos Investment Mana'
156,restricted_units,170,collaborator-sheet,fills blank
156,address,"36000 Fremont Boulevard, Fremont, CA",collaborator-sheet,fills blank
145,new_build,NO,collaborator-sheet,
145,manual_status,dead,collaborator-sheet,
145,restricted_units,110,collaborator-sheet,fills blank
145,address,"2130 N Marks Ave, Fresno, CA 93722",collaborator-sheet,fills blank
157,investor_1,Eagle Partners,collaborator-sheet,fills blank
157,total_units,551,collaborator-sheet,fills blank
157,restricted_units,440,collaborator-sheet,fills blank
157,address,"439 West El Norte Parkway / 1045 Morning View Drive, Escondido, CA",collaborator-sheet,fills blank
159,restricted_units,290,collaborator-sheet,fills blank
159,address,"1141 N. Vermont Avenue, Los Angeles, CA 90029",collaborator-sheet,fills blank
161,restricted_units,40,collaborator-sheet,fills blank
161,address,"2933 W. 8th Street, Los Angeles, CA",collaborator-sheet,fills blank
162,investor_1,K3 Holdings,collaborator-sheet,fills blank
162,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
162,total_units,30,collaborator-sheet,fills blank
162,restricted_units,30,collaborator-sheet,fills blank
162,address,"130 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
162,city_cut,4500,collaborator-sheet,fills blank
163,restricted_units,67,collaborator-sheet,fills blank
163,address,"437 N. Ardmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
164,restricted_units,40,collaborator-sheet,fills blank
164,address,"249 S. Ave 55, Los Angeles, CA",collaborator-sheet,fills blank
165,restricted_units,39,collaborator-sheet,fills blank
165,address,"861 Fedora Street, Los Angeles, CA",collaborator-sheet,fills blank
166,restricted_units,40,collaborator-sheet,fills blank
166,address,"516 N. Harvard Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
167,restricted_units,20,collaborator-sheet,fills blank
167,address,"5200 Hollywood Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
168,restricted_units,48,collaborator-sheet,fills blank
168,address,"200 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
169,restricted_units,18,collaborator-sheet,fills blank
169,address,"915 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
170,restricted_units,45,collaborator-sheet,fills blank
170,address,"530 Kingsley Drive, Los Angeles, CA",collaborator-sheet,fills blank
171,restricted_units,42,collaborator-sheet,fills blank
171,address,"5406 Lexington Avenue, Los Angeles, CA",collaborator-sheet,fills blank
171,city_cut,6300,collaborator-sheet,differs from generated: '15900.0'
172,investor_1,K3 Holdings,collaborator-sheet,fills blank
172,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
172,total_units,106,collaborator-sheet,fills blank
172,restricted_units,106,collaborator-sheet,fills blank
172,address,"410 S. Manhattan Place / 509 S. Manhattan Place, Los Angeles, CA",collaborator-sheet,fills blank
172,city_cut,15900,collaborator-sheet,fills blank
173,restricted_units,40,collaborator-sheet,fills blank
173,address,"727 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
174,restricted_units,23,collaborator-sheet,fills blank
174,address,"750-752 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
175,restricted_units,48,collaborator-sheet,fills blank
175,address,"520 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
176,restricted_units,31,collaborator-sheet,fills blank
176,address,"5635 Monte Vista Street, Los Angeles, CA",collaborator-sheet,fills blank
177,restricted_units,32,collaborator-sheet,fills blank
177,address,"207 S. Oxford St, Los Angeles, CA",collaborator-sheet,fills blank
178,restricted_units,40,collaborator-sheet,fills blank
178,address,"300 W. Avenue 37, Los Angeles, CA",collaborator-sheet,fills blank
179,restricted_units,76,collaborator-sheet,fills blank
179,address,"1057 S. Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
180,investor_1,K3 Holdings,collaborator-sheet,fills blank
180,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
180,total_units,20,collaborator-sheet,fills blank
180,restricted_units,20,collaborator-sheet,fills blank
180,address,"132 S. Westmoreland Avenue, Los Angeles, CA",collaborator-sheet,fills blank
180,city_cut,3000,collaborator-sheet,fills blank
191,investor_1,Ethos Real Estate,collaborator-sheet,fills blank
191,restricted_units,79,collaborator-sheet,fills blank
189,new_build,NO,collaborator-sheet,
189,built,1987,collaborator-sheet,
189,manual_status,dead,collaborator-sheet,
189,restricted_units,221,collaborator-sheet,fills blank
189,address,"201 S 4th St, San Jose, CA 95112",collaborator-sheet,fills blank
181,manual_status,stale,collaborator-sheet,
181,city,Los Angeles,collaborator-sheet,differs from generated: 'Long Beach'
181,total_units,152,collaborator-sheet,differs from generated: '52'
181,restricted_units,152,collaborator-sheet,fills blank
181,address,"5565 & 5575 Ackerfield Avenue, Long Beach, CA",collaborator-sheet,fills blank
182,new_build,YES,collaborator-sheet,
182,manual_status,stale,collaborator-sheet,
182,restricted_units,50,collaborator-sheet,fills blank
182,address,"1451 W. Martin Luther King Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
183,manual_status,dead,collaborator-sheet,
183,restricted_units,13,collaborator-sheet,fills blank
183,address,"4256 Whittier Blvd Apartments, Los Angeles, CA",collaborator-sheet,fills blank
184,new_build,YES,collaborator-sheet,
184,restricted_units,6,collaborator-sheet,fills blank
184,address,"225 W. 25th St, Los Angeles, CA",collaborator-sheet,fills blank
185,new_build,YES,collaborator-sheet,
185,restricted_units,8,collaborator-sheet,fills blank
185,address,"9422 Firth Avenue, Los Angeles, CA",collaborator-sheet,fills blank
186,new_build,YES,collaborator-sheet,
186,restricted_units,14,collaborator-sheet,fills blank
186,address,"4008 Martin Luther King Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
190,new_build,NO,collaborator-sheet,
190,entity,"St. Anton Highland, LP",collaborator-sheet,differs from generated: 'St. Anton Highlands LP'
190,restricted_units,102,collaborator-sheet,fills blank
190,address,"2311 Ivy Hill Way, San Ramon, CA 94582",collaborator-sheet,fills blank
144,new_build,NO,collaborator-sheet,
144,property_name,La Vista Apartment Homes,collaborator-sheet,differs from generated: 'La Vista Apartments'
144,restricted_units,460,collaborator-sheet,fills blank
144,address,"740 S. Western Avenue, Santa Maria, CA 93458",collaborator-sheet,fills blank
195,new_build,YES,collaborator-sheet,
195,total_units,41,collaborator-sheet,differs from generated: '42'
195,restricted_units,41,collaborator-sheet,fills blank
195,address,"1723 Corinth Ave, Los Angeles, CA 90025",collaborator-sheet,fills blank
194,new_build,YES,collaborator-sheet,
194,restricted_units,36,collaborator-sheet,fills blank
194,address,"3751 Delmas Terrace, Los Angeles, CA 90034",collaborator-sheet,fills blank
187,built,1987,collaborator-sheet,
187,restricted_units,232,collaborator-sheet,fills blank
187,address,"3200 W 5th St, Santa Ana, CA 92703",collaborator-sheet,fills blank
196,manual_status,dead,collaborator-sheet,
196,investor_1,Capital Insight Holdings,collaborator-sheet,fills blank
196,restricted_units,514,collaborator-sheet,fills blank
196,address,"9750 Airport Blvd, Westchester, CA 90045",collaborator-sheet,"differs from generated: '9750 Airport Blvd, Los Angeles, CA'"
200,resolution,Application,collaborator-sheet,fills blank
200,restricted_units,70,collaborator-sheet,fills blank
200,address,"1408 W Jefferson Blvd, Los Angeles, CA 90007",collaborator-sheet,fills blank
197,new_build,YES,collaborator-sheet,
197,manual_status,dead,collaborator-sheet,
197,restricted_units,100,collaborator-sheet,fills blank
197,address,"12342 Osborne Pl, Pacoima, CA 91331",collaborator-sheet,fills blank
198,new_build,YES,collaborator-sheet,
198,restricted_units,264,collaborator-sheet,fills blank
198,address,"220 Humboldt Ct. Sunnyvale, CA",collaborator-sheet,fills blank
199,restricted_units,37,collaborator-sheet,fills blank
199,city_cut,5500,collaborator-sheet,differs from generated: '5550.0'
201,manual_status,dead,collaborator-sheet,
201,restricted_units,80,collaborator-sheet,fills blank
201,address,"1311 W Battles Rd, Santa Maria, CA 93458",collaborator-sheet,fills blank
207,manual_status,dead,collaborator-sheet,
207,investor_1,Jenson Capital Group,collaborator-sheet,fills blank
207,restricted_units,56,collaborator-sheet,fills blank
207,address,"2625 Cullen St, Los Angeles, CA 90034",collaborator-sheet,"differs from generated: '2625 Cullen Street, Los Angeles, CA'"
208,manual_status,dead,collaborator-sheet,
208,investor_1,Jenson Capital Group,collaborator-sheet,fills blank
208,restricted_units,34,collaborator-sheet,fills blank
208,address,"2481 Sawtelle Blvd, Los Angeles, CA 90064",collaborator-sheet,"differs from generated: '2481 South Sawtelle Blvd, Los Angeles, CA'"
49,new_build,NO,collaborator-sheet,
49,property_name,Summerwood Apartments Homes Apartments,collaborator-sheet,differs from generated: 'Summerwood Apartment Homes'
49,entity,Standard Properties,collaborator-sheet,differs from generated: 'Standard Summerwood II LP'
49,investor_1,Standard Properties,collaborator-sheet,"differs from generated: 'Standard Property Company, Inc.'"
49,restricted_units,162,collaborator-sheet,fills blank
49,address,"21701 Foothill Blvd, Hayward, CA 94541",collaborator-sheet,fills blank
49,city_cut,18450,collaborator-sheet,fills blank
188,manual_status,dead,collaborator-sheet,
188,restricted_units,27,collaborator-sheet,fills blank
188,address,"11720 San Pablo Ave, El Cerrito, CA 94530",collaborator-sheet,fills blank
202,new_build,NO,collaborator-sheet,
202,built,1980,collaborator-sheet,
202,restricted_units,150,collaborator-sheet,fills blank
202,address,"609 Frederick St, Santa Cruz, CA 95062",collaborator-sheet,fills blank
205,manual_status,stale,collaborator-sheet,
205,investor_1,MG Properties,collaborator-sheet,fills blank
205,nonprofit_partner,Pacific Housing Inc,collaborator-sheet,fills blank
205,restricted_units,54,collaborator-sheet,fills blank
203,city,Unincorporated,collaborator-sheet,fills blank
203,restricted_units,208,collaborator-sheet,fills blank
203,address,"4350 Galbrath Dr, Sacramento, CA 95842",collaborator-sheet,fills blank
203,city_cut,31200,collaborator-sheet,fills blank
204,new_build,YES,collaborator-sheet,
204,total_units,49,collaborator-sheet,differs from generated: '50'
204,restricted_units,49,collaborator-sheet,fills blank
206,manual_status,dead,collaborator-sheet,
206,county,Los Angeles,collaborator-sheet,differs from generated: 'San Diego'
206,restricted_units,123,collaborator-sheet,fills blank
206,address,"1845 N Broadway, Escondido, CA 92026",collaborator-sheet,fills blank
224,new_build,YES,collaborator-sheet,
224,investor_1,Equitable Connections to Housing Opportunities (ECHO),collaborator-sheet,fills blank
224,restricted_units,31,collaborator-sheet,fills blank
224,address,"1454 W Florence Ave, Los Angeles, CA 90047",collaborator-sheet,"differs from generated: '1454 West Florence Avenue, Los Angeles, CA'"
209,investor_1,Red Stone Equity Partners,collaborator-sheet,differs from generated: 'Zenith Property Group LLC'
209,restricted_units,12,collaborator-sheet,fills blank
209,address,"6790 Embarcadero Ln, Carlsbad, CA 92011",collaborator-sheet,fills blank
209,term_years,15,collaborator-sheet,differs from generated: '35'
210,restricted_units,211,collaborator-sheet,fills blank
210,address,"6633 Valley Hi Drive, Sacramento, CA",collaborator-sheet,fills blank
210,term_years,10,collaborator-sheet,differs from generated: '55'
226,manual_status,dead,collaborator-sheet,
226,investor_1,MG Properties,collaborator-sheet,fills blank
226,nonprofit_partner,Pacific Housing,collaborator-sheet,fills blank
226,restricted_units,134,collaborator-sheet,fills blank
226,address,"142 Fig Tree Lane, Martinez, CA 94553",collaborator-sheet,"differs from generated: '142 Fig Tree Lane, Martinez, CA'"
226,term_years,10,collaborator-sheet,differs from generated: '15'
228,investor_1,"Positive Investments, Inc.",collaborator-sheet,fills blank
228,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,differs from generated: 'The Foundation for Affordable Housing'
228,restricted_units,19,collaborator-sheet,fills blank
228,term_years,15,collaborator-sheet,differs from generated: '10'
230,new_build,NO,collaborator-sheet,
230,property_name,Hansen illage Apartments,collaborator-sheet,differs from generated: 'Hansen Village Apartments'
230,investor_1,"Positive Investments, Inc.",collaborator-sheet,fills blank
230,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,differs from generated: 'The Foundation for Affordable Housing'
230,restricted_units,29,collaborator-sheet,fills blank
230,address,"11821 Foothill Blvd, Lake View Terrace, CA 91342",collaborator-sheet,"differs from generated: '11821 Foothill Blvd, Los Angeles, CA'"
232,investor_2,Vistria,collaborator-sheet,
232,new_build,NO,collaborator-sheet,
232,link,https://vistria.com/vistria-real-estate-acquires-orange-county-apartment-community/,collaborator-sheet,
232,investor_1,Eagle Partners,collaborator-sheet,fills blank
232,nonprofit_partner,Affordable Housing Access,collaborator-sheet,fills blank
232,restricted_units,120,collaborator-sheet,fills blank
232,address,"12091 Bayport St, Garden Grove, CA 92840",collaborator-sheet,"differs from generated: '12091 Bayport Street, Garden Grove, CA'"
222,city,San Lorenzo,collaborator-sheet,fills blank
222,investor_1,Faulkner Capital Partners,collaborator-sheet,fills blank
222,restricted_units,135,collaborator-sheet,fills blank
222,address,"16077 Ashland Ave, San Lorenzo, CA 94580",collaborator-sheet,"differs from generated: '16077 Ashland Avenue, San Lorenzo'"
216,new_build,NO,collaborator-sheet,
216,restricted_units,81,collaborator-sheet,fills blank
216,address,"5035 Guava Ave, La Mesa, CA 91942",collaborator-sheet,fills blank
217,new_build,YES,collaborator-sheet,
217,total_units,34,collaborator-sheet,differs from generated: '35'
217,restricted_units,34,collaborator-sheet,fills blank
215,new_build,YES,collaborator-sheet,
215,link,https://cscda.org/wp-content/uploads/2026/06/CSCDA-Agenda-Packet-7.2.26.pdf,collaborator-sheet,
215,resolution,26H-[_],collaborator-sheet,fills blank
215,investor_1,Category Company,collaborator-sheet,fills blank
215,restricted_units,73,collaborator-sheet,fills blank
215,address,"511 N. Hoover Street, Los Angeles, California",collaborator-sheet,"differs from generated: '511 N. Hoover Street, Los Angeles'"
211,entity,Heven LP,collaborator-sheet,"differs from generated: 'Haven, LP'"
211,investor_1,LA Apartments,collaborator-sheet,fills blank
211,nonprofit_partner,Central Valley Coalition for Affordable Housing,collaborator-sheet,fills blank
211,restricted_units,82,collaborator-sheet,fills blank
211,address,"6530 Independence Ave, Canoga Park, CA 91303",collaborator-sheet,"differs from generated: '6530 Independence Avenue, Los Angeles'"
212,new_build,YES,collaborator-sheet,
212,investor_1,KBX Investments,collaborator-sheet,fills blank
212,nonprofit_partner,Central Valley Coalition for Affordable Housing,collaborator-sheet,fills blank
212,restricted_units,50,collaborator-sheet,fills blank
212,address,"2075 W Jefferson BlvdLos Angeles, CA 90018",collaborator-sheet,"differs from generated: '2075 West Jefferson Blvd., Los Angeles'"
213,city,Unincorporated,collaborator-sheet,fills blank
213,investor_1,TriWest Development,collaborator-sheet,fills blank
213,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,fills blank
213,restricted_units,74,collaborator-sheet,fills blank
213,address,"5416 Jackson St, North Highlands, CA 95660",collaborator-sheet,"differs from generated: '5416 Jackson Street, North Highlands'"
214,new_build,NO,collaborator-sheet,
214,investor_1,The Korda Group,collaborator-sheet,fills blank
214,nonprofit_partner,AOF/Pacific Affordable Housing Corp.,collaborator-sheet,fills blank
214,restricted_units,72,collaborator-sheet,fills blank
214,address,"444 N Amelia Ave, San Dimas, CA 91773",collaborator-sheet,"differs from generated: '444 North Amelia Avenue, San Dimas'"
218,new_build,YES,collaborator-sheet,
218,investor_1,Orion Capital LLC,collaborator-sheet,fills blank
218,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,fills blank
218,total_units,70,collaborator-sheet,fills blank
218,restricted_units,70,collaborator-sheet,fills blank
218,address,"1408 W Jefferson Blvd Los Angeles, California 90007",collaborator-sheet,fills blank
218,city_cut,10500,collaborator-sheet,fills blank
219,new_build,YES,collaborator-sheet,
219,restricted_units,94,collaborator-sheet,fills blank
219,address,"603 S Mariposa AveLos Angeles, CA 90005",collaborator-sheet,fills blank
220,new_build,YES,collaborator-sheet,
220,investor_1,Terra Capital Development Group LLC,collaborator-sheet,fills blank
220,nonprofit_partner,Pacific Housing,collaborator-sheet,fills blank
220,total_units,52,collaborator-sheet,fills blank
220,restricted_units,52,collaborator-sheet,fills blank
220,address,"236 N Berendo St, Los Angeles, CA 90004",collaborator-sheet,fills blank
220,city_cut,7650,collaborator-sheet,fills blank
221,new_build,YES,collaborator-sheet,
221,restricted_units,58,collaborator-sheet,fills blank
221,address,"6219 Banner Avenue, Los Angeles, CA 90038",collaborator-sheet,fills blank
229,investor_1,CGI+,collaborator-sheet,fills blank
229,restricted_units,144,collaborator-sheet,fills blank
229,address,"220 47th St, San Diego, CA 92102",collaborator-sheet,"differs from generated: '220 47th Street, San Diego'"
231,investor_1,Post Real Estate Group,collaborator-sheet,fills blank
231,nonprofit_partner,Bedford Affordable Housing Foundation,collaborator-sheet,differs from generated: 'Bedford'
231,restricted_units,302,collaborator-sheet,fills blank
231,address,"160 S Virgil Ave, Los Angeles, CA 90004",collaborator-sheet,"differs from generated: '160 S. Virgil Avenue, Los Angeles'"
233,investor_1,Keren Housing,collaborator-sheet,fills blank
233,restricted_units,136,collaborator-sheet,fills blank
