table,project_id,field,value,source,note
grants,151,new_build,NO,collaborator-sheet,
grants,151,manual_status,dead,collaborator-sheet,
grants,151,address,"682 Irolo Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,152,new_build,NO,collaborator-sheet,
grants,152,total_units,153,manual-repo-edit,adjudicated 2026-08 (Drew): 153 incl. manager's unit (generated 52 and prior manual 152 both wrong)
grants,152,address,"5565 Ackerfield Avenue / 5700 Ackerfield Avenue, Long Beach, CA",collaborator-sheet,fills blank
grants,153,new_build,NO,collaborator-sheet,
grants,153,built,1990,collaborator-sheet,
grants,153,address,"12100 226th St, Hawaiian Gardens, CA 90716",collaborator-sheet,fills blank
grants,154,new_build,NO/YES,collaborator-sheet,
grants,154,address,"2000 Crystal Springs Rd, San Bruno, CA 94066",collaborator-sheet,fills blank
grants,155,new_build,NO,collaborator-sheet,
grants,155,built,1974,collaborator-sheet,
grants,155,address,"1070 San Miguel Road, Concord, CA",collaborator-sheet,fills blank
grants,156,new_build,NO,collaborator-sheet,
grants,156,built,1969,collaborator-sheet,
grants,156,address,"36000 Fremont Boulevard, Fremont, CA",collaborator-sheet,fills blank
grants,145,new_build,NO,collaborator-sheet,
grants,145,manual_status,dead,collaborator-sheet,
grants,145,address,"2130 N Marks Ave, Fresno, CA 93722",collaborator-sheet,fills blank
grants,157,investor_1,Eagle Partners,collaborator-sheet,fills blank
grants,157,total_units,551,collaborator-sheet,fills blank
grants,157,restricted_units,440,collaborator-sheet,fills blank
grants,157,address,"439 West El Norte Parkway / 1045 Morning View Drive, Escondido, CA",collaborator-sheet,fills blank
grants,159,address,"1141 N. Vermont Avenue, Los Angeles, CA 90029",collaborator-sheet,fills blank
grants,161,address,"2933 W. 8th Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,162,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,162,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,162,total_units,30,collaborator-sheet,fills blank
grants,162,restricted_units,30,collaborator-sheet,fills blank
grants,162,address,"130 S. Alexandria Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,162,city_cut,4500,collaborator-sheet,fills blank
grants,163,address,"437 N. Ardmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,164,address,"249 S. Ave 55, Los Angeles, CA",collaborator-sheet,fills blank
grants,165,address,"861 Fedora Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,166,address,"516 N. Harvard Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
grants,167,address,"5200 Hollywood Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
grants,168,address,"200 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,169,address,"915 S. Kenmore Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,170,address,"530 Kingsley Drive, Los Angeles, CA",collaborator-sheet,fills blank
grants,171,address,"5406 Lexington Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,172,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,172,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,172,total_units,106,collaborator-sheet,fills blank
grants,172,restricted_units,106,collaborator-sheet,fills blank
grants,172,address,"410 S. Manhattan Place / 509 S. Manhattan Place, Los Angeles, CA",collaborator-sheet,fills blank
grants,172,city_cut,15900,collaborator-sheet,fills blank
grants,173,address,"727 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,174,address,"750-752 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,175,address,"520 S. Mariposa Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,176,address,"5635 Monte Vista Street, Los Angeles, CA",collaborator-sheet,fills blank
grants,177,address,"207 S. Oxford St, Los Angeles, CA",collaborator-sheet,fills blank
grants,178,address,"300 W. Avenue 37, Los Angeles, CA",collaborator-sheet,fills blank
grants,179,address,"1057 S. Western Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,180,investor_1,K3 Holdings,collaborator-sheet,fills blank
grants,180,nonprofit_partner,"Kingdom Development, Inc.",collaborator-sheet,fills blank
grants,180,total_units,20,collaborator-sheet,fills blank
grants,180,restricted_units,20,collaborator-sheet,fills blank
grants,180,address,"132 S. Westmoreland Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,180,city_cut,3000,collaborator-sheet,fills blank
grants,191,investor_1,Ethos Real Estate,collaborator-sheet,fills blank
grants,191,restricted_units,79,collaborator-sheet,fills blank
grants,189,new_build,NO,collaborator-sheet,
grants,189,built,1987,collaborator-sheet,
grants,189,manual_status,dead,collaborator-sheet,
grants,189,address,"201 S 4th St, San Jose, CA 95112",collaborator-sheet,fills blank
grants,181,manual_status,stale,collaborator-sheet,
grants,181,total_units,153,manual-repo-edit,adjudicated 2026-08 (Drew): 153 incl. manager's unit (generated 52 and prior manual 152 both wrong)
grants,181,address,"5565 & 5575 Ackerfield Avenue, Long Beach, CA",collaborator-sheet,fills blank
grants,183,manual_status,dead,collaborator-sheet,
grants,183,address,"4256 Whittier Blvd Apartments, Los Angeles, CA",collaborator-sheet,fills blank
grants,184,new_build,YES,collaborator-sheet,
grants,184,address,"225 W. 25th St, Los Angeles, CA",collaborator-sheet,fills blank
grants,185,new_build,YES,collaborator-sheet,
grants,185,address,"9422 Firth Avenue, Los Angeles, CA",collaborator-sheet,fills blank
grants,186,new_build,YES,collaborator-sheet,
grants,186,address,"4008 Martin Luther King Boulevard, Los Angeles, CA",collaborator-sheet,fills blank
grants,190,new_build,NO,collaborator-sheet,
grants,190,address,"2311 Ivy Hill Way, San Ramon, CA 94582",collaborator-sheet,fills blank
grants,144,new_build,NO,collaborator-sheet,
grants,144,property_name,La Vista Apartment Homes,collaborator-sheet,"reviewed 2026-08-22, manual kept: official name is Apartment Homes"
grants,144,address,"740 S. Western Avenue, Santa Maria, CA 93458",collaborator-sheet,fills blank
grants,195,new_build,YES,collaborator-sheet,
grants,195,address,"1723 Corinth Ave, Los Angeles, CA 90025",collaborator-sheet,fills blank
grants,194,new_build,YES,collaborator-sheet,
grants,194,address,"3751 Delmas Terrace, Los Angeles, CA 90034",collaborator-sheet,fills blank
grants,187,built,1987,collaborator-sheet,
grants,187,address,"3200 W 5th St, Santa Ana, CA 92703",collaborator-sheet,fills blank
grants,196,manual_status,dead,collaborator-sheet,
grants,196,investor_1,Capital Insight Holdings,collaborator-sheet,fills blank
grants,196,restricted_units,514,collaborator-sheet,fills blank
grants,196,address,"9750 Airport Blvd, Westchester, CA 90045",collaborator-sheet,"reviewed 2026-08-22, manual kept: neighborhood + zip refinement (Westchester)"
grants,200,resolution,Application,collaborator-sheet,fills blank
grants,200,address,"1408 W Jefferson Blvd, Los Angeles, CA 90007",collaborator-sheet,fills blank
grants,197,new_build,YES,collaborator-sheet,
grants,197,manual_status,dead,collaborator-sheet,
grants,197,address,"12342 Osborne Pl, Pacoima, CA 91331",collaborator-sheet,fills blank
grants,198,new_build,YES,collaborator-sheet,
grants,198,address,"220 Humboldt Ct. Sunnyvale, CA",collaborator-sheet,fills blank
grants,201,manual_status,dead,collaborator-sheet,
grants,201,address,"1311 W Battles Rd, Santa Maria, CA 93458",collaborator-sheet,fills blank
grants,207,manual_status,dead,collaborator-sheet,
grants,207,investor_1,Jenson Capital Group,collaborator-sheet,fills blank
grants,207,restricted_units,56,collaborator-sheet,fills blank
grants,208,manual_status,dead,collaborator-sheet,
grants,208,investor_1,Jenson Capital Group,collaborator-sheet,fills blank
grants,208,restricted_units,34,collaborator-sheet,fills blank
grants,208,address,"2481 Sawtelle Blvd, Los Angeles, CA 90064",collaborator-sheet,"reviewed 2026-08-22, manual kept: zip refinement"
grants,49,new_build,NO,collaborator-sheet,
grants,49,address,"21701 Foothill Blvd, Hayward, CA 94541",collaborator-sheet,fills blank
grants,49,city_cut,18450,collaborator-sheet,fills blank
grants,188,manual_status,dead,collaborator-sheet,
grants,188,address,"11720 San Pablo Ave, El Cerrito, CA 94530",collaborator-sheet,fills blank
grants,202,new_build,NO,collaborator-sheet,
grants,202,built,1980,collaborator-sheet,
grants,202,address,"609 Frederick St, Santa Cruz, CA 95062",collaborator-sheet,fills blank
grants,205,manual_status,stale,collaborator-sheet,
grants,205,investor_1,MG Properties,collaborator-sheet,fills blank
grants,205,nonprofit_partner,Pacific Housing Inc,collaborator-sheet,fills blank
grants,205,restricted_units,54,collaborator-sheet,fills blank
grants,203,city,Unincorporated,collaborator-sheet,fills blank
grants,203,address,"4350 Galbrath Dr, Sacramento, CA 95842",collaborator-sheet,fills blank
grants,203,city_cut,31200,collaborator-sheet,fills blank
grants,204,new_build,YES,collaborator-sheet,
grants,206,manual_status,dead,collaborator-sheet,
grants,206,address,"1845 N Broadway, Escondido, CA 92026",collaborator-sheet,fills blank
grants,224,new_build,YES,collaborator-sheet,
grants,224,investor_1,Equitable Connections to Housing Opportunities (ECHO),collaborator-sheet,fills blank
grants,224,restricted_units,31,collaborator-sheet,fills blank
grants,209,address,"6790 Embarcadero Ln, Carlsbad, CA 92011",collaborator-sheet,fills blank
grants,226,manual_status,dead,collaborator-sheet,
grants,226,investor_1,MG Properties,collaborator-sheet,fills blank
grants,226,nonprofit_partner,Pacific Housing,collaborator-sheet,fills blank
grants,226,restricted_units,134,collaborator-sheet,fills blank
grants,228,investor_1,"Positive Investments, Inc.",collaborator-sheet,fills blank
grants,228,restricted_units,19,collaborator-sheet,fills blank
grants,230,new_build,NO,collaborator-sheet,
grants,230,investor_1,"Positive Investments, Inc.",collaborator-sheet,fills blank
grants,230,restricted_units,29,collaborator-sheet,fills blank
grants,230,address,"11821 Foothill Blvd, Lake View Terrace, CA 91342",collaborator-sheet,"reviewed 2026-08-22, manual kept: neighborhood + zip refinement (Lake View Terrace)"
grants,232,investor_2,Vistria,collaborator-sheet,
grants,232,new_build,NO,collaborator-sheet,
grants,232,link,https://vistria.com/vistria-real-estate-acquires-orange-county-apartment-community/,collaborator-sheet,
grants,232,investor_1,Eagle Partners,collaborator-sheet,fills blank
grants,232,nonprofit_partner,Affordable Housing Access,collaborator-sheet,fills blank
grants,232,restricted_units,120,collaborator-sheet,fills blank
grants,222,city,San Lorenzo,collaborator-sheet,fills blank
grants,222,investor_1,Faulkner Capital Partners,collaborator-sheet,fills blank
grants,222,restricted_units,135,collaborator-sheet,fills blank
grants,216,new_build,NO,collaborator-sheet,
grants,216,address,"5035 Guava Ave, La Mesa, CA 91942",collaborator-sheet,fills blank
grants,217,new_build,YES,collaborator-sheet,
grants,215,new_build,YES,collaborator-sheet,
grants,215,link,https://cscda.org/wp-content/uploads/2026/06/CSCDA-Agenda-Packet-7.2.26.pdf,collaborator-sheet,
grants,215,resolution,26H-[_],collaborator-sheet,fills blank
grants,215,investor_1,Category Company,collaborator-sheet,fills blank
grants,215,restricted_units,73,collaborator-sheet,fills blank
grants,211,investor_1,LA Apartments,collaborator-sheet,fills blank
grants,211,nonprofit_partner,Central Valley Coalition for Affordable Housing,collaborator-sheet,fills blank
grants,211,restricted_units,82,collaborator-sheet,fills blank
grants,211,address,"6530 Independence Ave, Canoga Park, CA 91303",collaborator-sheet,"reviewed 2026-08-22, manual kept: neighborhood + zip refinement (Canoga Park)"
grants,212,new_build,YES,collaborator-sheet,
grants,212,investor_1,KBX Investments,collaborator-sheet,fills blank
grants,212,nonprofit_partner,Central Valley Coalition for Affordable Housing,collaborator-sheet,fills blank
grants,212,restricted_units,50,collaborator-sheet,fills blank
grants,213,city,Unincorporated,collaborator-sheet,fills blank
grants,213,investor_1,TriWest Development,collaborator-sheet,fills blank
grants,213,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,fills blank
grants,213,restricted_units,74,collaborator-sheet,fills blank
grants,214,new_build,NO,collaborator-sheet,
grants,214,investor_1,The Korda Group,collaborator-sheet,fills blank
grants,214,nonprofit_partner,AOF/Pacific Affordable Housing Corp.,collaborator-sheet,fills blank
grants,214,restricted_units,72,collaborator-sheet,fills blank
grants,218,new_build,YES,collaborator-sheet,
grants,218,investor_1,Orion Capital LLC,collaborator-sheet,fills blank
grants,218,nonprofit_partner,Foundation for Affordable Housing,collaborator-sheet,fills blank
grants,218,total_units,70,collaborator-sheet,fills blank
grants,218,restricted_units,70,collaborator-sheet,fills blank
grants,218,address,"1408 W Jefferson Blvd Los Angeles, California 90007",collaborator-sheet,fills blank
grants,218,city_cut,10500,collaborator-sheet,fills blank
grants,219,new_build,YES,collaborator-sheet,
grants,219,address,"603 S Mariposa AveLos Angeles, CA 90005",collaborator-sheet,fills blank
grants,220,new_build,YES,collaborator-sheet,
grants,220,investor_1,Terra Capital Development Group LLC,collaborator-sheet,fills blank
grants,220,nonprofit_partner,Pacific Housing,collaborator-sheet,fills blank
grants,220,total_units,52,collaborator-sheet,fills blank
grants,220,restricted_units,52,collaborator-sheet,fills blank
grants,220,address,"236 N Berendo St, Los Angeles, CA 90004",collaborator-sheet,fills blank
grants,220,city_cut,7650,collaborator-sheet,fills blank
grants,221,new_build,YES,collaborator-sheet,
grants,221,address,"6219 Banner Avenue, Los Angeles, CA 90038",collaborator-sheet,fills blank
grants,229,investor_1,CGI+,collaborator-sheet,fills blank
grants,229,restricted_units,144,collaborator-sheet,fills blank
grants,231,investor_1,Post Real Estate Group,collaborator-sheet,fills blank
grants,231,nonprofit_partner,Bedford Affordable Housing Foundation,collaborator-sheet,"reviewed 2026-08-22, manual kept: packet parse truncates to Bedford; full name correct"
grants,231,restricted_units,302,collaborator-sheet,fills blank
grants,233,investor_1,Keren Housing,collaborator-sheet,fills blank
grants,233,restricted_units,136,collaborator-sheet,fills blank
grants,234,investor_1,Keren Housing,collaborator-sheet,fills blank
grants,234,restricted_units,136,collaborator-sheet,fills blank
grants,235,investor_1,Keren Housing,collaborator-sheet,fills blank
grants,235,restricted_units,59,collaborator-sheet,fills blank
grants,236,new_build,YES,collaborator-sheet,
grants,236,investor_1,Killefer Development,collaborator-sheet,fills blank
grants,236,restricted_units,108,collaborator-sheet,fills blank
grants,237,investor_1,Angeleno Invesments,collaborator-sheet,fills blank
grants,237,restricted_units,27,collaborator-sheet,fills blank
grants,225,address,"2780 N Texas St, Fairfield, CA 94533",collaborator-sheet,fills blank
grants,227,address,"1 Shoal Ct, Sacramento, CA 95831",collaborator-sheet,fills blank
grants,204,address,"6144 Hazelhurst Place, North Hollywood, CA 91606",manual-repo-edit,"Drew, manual research 2026-08-22 (North Hollywood; no exact 6144 situs at county — block has 6142/6146)"
grants,199,address,"6840 Baird Ave, Los Angeles, CA 91335",manual-repo-edit,"Drew, manual research 2026-08-22"
grants,217,address,"217 N. Park View Street, Los Angeles, CA 90026",manual-repo-edit,"Drew, manual research 2026-08-22"
grants,76,manual_status,stale,collaborator-sheet,"moved from duplicate row 182, 2026-08-22"
grants,76,restricted_units,50,collaborator-sheet,"moved from duplicate row 182, 2026-08-22"
grants,348,county,Los Angeles,manual-repo-edit,"Agenda error 2025-10-24: item listed under City of Healdsburg, County of Sonoma; pulled at that meeting and re-agendized 2025-11-07 under Los Angeles as Res 25-531 (approved)"
grants,348,city,Los Angeles,manual-repo-edit,"Agenda error 2025-10-24: item listed under City of Healdsburg, County of Sonoma; pulled at that meeting and re-agendized 2025-11-07 under Los Angeles as Res 25-531 (approved)"
grants,316,restricted_units,89,manual-repo-edit,staff report tier lines are typo'd ('10% (80 Units)' + '90% (80 Units)'); header states 100% of the 89 units restricted
grants,238,*,,collaborator-sheet,entire row manual (predates meeting archives)
grants,192,*,,collaborator-sheet,entire row manual (predates meeting archives)
grants,193,*,,collaborator-sheet,entire row manual (predates meeting archives)
grants,223,*,,collaborator-sheet,entire row manual (predates meeting archives)
grants,2,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,4,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,18,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,30,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,31,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,44,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,51,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,61,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,64,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,158,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,217,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
grants,340,manager_units,1,inferred-off-by-one,total exceeds restricted by exactly one; not stated in documents
parcels,1,assignment:5136019013,5136019013,collaborator-sheet,manual_verified
parcels,2,assignment:5183001017,5183001017,collaborator-sheet,manual_verified
parcels,3,values:15434025,17059601,collaborator-sheet,no automated source for county
parcels,3,assignment:15434025,15434025,collaborator-sheet,
parcels,4,values:147091180000,4156500,collaborator-sheet,no automated source for county
parcels,4,assignment:147091180000,147091180000,collaborator-sheet,
parcels,5,assignment:5343602100,5343602100,collaborator-sheet,
parcels,6,values:0345012C,7398189,collaborator-sheet,no automated source for county
parcels,6,assignment:0345012C,0345012C,collaborator-sheet,
parcels,7,values:454251243,17313480,collaborator-sheet,no automated source for county
parcels,7,assignment:454251243,454251243,collaborator-sheet,
parcels,8,assignment:5134017037,5134017037,collaborator-sheet,parcel_in_transition
parcels,9,assignment:5134009025,5134009025,collaborator-sheet,parcel_in_transition
parcels,9,assignment:5134009024,5134009024,collaborator-sheet,parcel_in_transition
parcels,11,values:1295996,2013882,collaborator-sheet,no automated source for county
parcels,11,assignment:1295996,1295996,collaborator-sheet,
parcels,12,assignment:5402028023,5402028023,collaborator-sheet,manual_verified
parcels,13,values:344007,17116303,collaborator-sheet,no automated source for county
parcels,13,assignment:344007,344007,collaborator-sheet,
parcels,14,values:867281,24257157,collaborator-sheet,no automated source for county
parcels,14,assignment:867281,867281,collaborator-sheet,
parcels,15,assignment:5547013021,5547013021,collaborator-sheet,manual_verified
parcels,17,assignment:5024017036,5024017036,collaborator-sheet,manual_verified
parcels,18,assignment:1043514700,1043514700,collaborator-sheet,
parcels,19,values:39612209,18340000,collaborator-sheet,no automated source for county
parcels,19,assignment:39612209,39612209,collaborator-sheet,
parcels,19,values:39612130,22410000,collaborator-sheet,no automated source for county
parcels,19,assignment:39612130,39612130,collaborator-sheet,
parcels,20,assignment:2102015045,2102015045,collaborator-sheet,manual_verified
parcels,21,assignment:2119001222,2119001222,collaborator-sheet,manual_verified
parcels,22,assignment:6320011041,6320011041,collaborator-sheet,manual_verified
parcels,23,assignment:7418014021,7418014021,collaborator-sheet,manual_verified
parcels,24,assignment:5021028002,5021028002,collaborator-sheet,manual_verified
parcels,25,assignment:5020017007,5020017007,collaborator-sheet,manual_verified
parcels,26,assignment:7455002027,7455002027,collaborator-sheet,manual_verified
parcels,27,assignment:4291019007,4291019007,collaborator-sheet,manual_verified_multi
parcels,27,assignment:4291019006,4291019006,collaborator-sheet,manual_verified_multi
parcels,28,assignment:4291020005,4291020005,collaborator-sheet,manual_verified_multi
parcels,28,assignment:4291020006,4291020006,collaborator-sheet,manual_verified_multi
parcels,28,assignment:4291020007,4291020007,collaborator-sheet,manual_verified_multi
parcels,29,assignment:4291020018,4291020018,collaborator-sheet,manual_verified_multi
parcels,29,assignment:4291020019,4291020019,collaborator-sheet,manual_verified_multi
parcels,30,assignment:4291024007,4291024007,collaborator-sheet,manual_verified
parcels,31,assignment:4291022015,4291022015,collaborator-sheet,manual_verified
parcels,32,assignment:4275024005,4275024005,collaborator-sheet,manual_verified_multi
parcels,32,assignment:4275024015,4275024015,collaborator-sheet,manual_verified_multi
parcels,33,assignment:6020022027,6020022027,collaborator-sheet,parcel_in_transition
parcels,34,values:4251100188,9977564,collaborator-sheet,no automated source for county
parcels,34,assignment:4251100188,4251100188,collaborator-sheet,
parcels,35,values:22802520400000,25646900,collaborator-sheet,no automated source for county
parcels,35,assignment:22802520400000,22802520400000,collaborator-sheet,
parcels,36,assignment:4025014001,4025014001,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014002,4025014002,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014003,4025014003,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014004,4025014004,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014005,4025014005,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014006,4025014006,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014007,4025014007,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014008,4025014008,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014009,4025014009,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014010,4025014010,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014011,4025014011,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014012,4025014012,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014013,4025014013,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014014,4025014014,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014015,4025014015,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014016,4025014016,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014017,4025014017,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025014018,4025014018,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025015001,4025015001,collaborator-sheet,manual_verified_multi
parcels,36,assignment:4025015002,4025015002,collaborator-sheet,manual_verified_multi
parcels,37,assignment:5183013023,5183013023,collaborator-sheet,parcel_in_transition
parcels,38,assignment:2321001019,2321001019,collaborator-sheet,manual_verified
parcels,39,assignment:6005021032,6005021032,collaborator-sheet,manual_verified
parcels,40,assignment:5021009036,5021009036,collaborator-sheet,manual_verified
parcels,41,assignment:5020025039,5020025039,collaborator-sheet,manual_verified
parcels,42,assignment:6083001009,6083001009,collaborator-sheet,manual_verified
parcels,43,values:01419405,33879341,collaborator-sheet,no automated source for county
parcels,43,assignment:01419405,01419405,collaborator-sheet,
parcels,44,assignment:5180001024,5180001024,collaborator-sheet,parcel_in_transition
parcels,45,values:39626156,25500000,collaborator-sheet,no automated source for county
parcels,45,assignment:39626156,39626156,collaborator-sheet,
parcels,45,values:39626155,103700000,collaborator-sheet,no automated source for county
parcels,45,assignment:39626155,39626155,collaborator-sheet,
parcels,46,assignment:5109003014,5109003014,collaborator-sheet,manual_verified_multi
parcels,46,assignment:5109003001,5109003001,collaborator-sheet,manual_verified_multi
parcels,47,assignment:4610304300,4610304300,collaborator-sheet,
parcels,48,values:039481250,31083000,collaborator-sheet,no automated source for county
parcels,48,assignment:039481250,039481250,collaborator-sheet,
parcels,48,values:039482130,62932900,collaborator-sheet,no automated source for county
parcels,48,assignment:039482130,039482130,collaborator-sheet,
parcels,48,values:042112240,44821400,collaborator-sheet,no automated source for county
parcels,48,assignment:042112240,042112240,collaborator-sheet,
parcels,48,values:042113250,31161700,collaborator-sheet,no automated source for county
parcels,48,assignment:042113250,042113250,collaborator-sheet,
parcels,48,values:042121090,41355000,collaborator-sheet,no automated source for county
parcels,48,assignment:042121090,042121090,collaborator-sheet,
parcels,48,values:042122050,41008500,collaborator-sheet,no automated source for county
parcels,48,assignment:042122050,042122050,collaborator-sheet,
parcels,49,values:4281649,38656726,collaborator-sheet,no automated source for county
parcels,49,assignment:4281649,4281649,collaborator-sheet,
parcels,50,assignment:5351441500,5351441500,collaborator-sheet,
parcels,51,assignment:5473131800,5473131800,collaborator-sheet,
parcels,52,values:28501900330000,15111810,collaborator-sheet,no automated source for county
parcels,52,assignment:28501900330000,28501900330000,collaborator-sheet,
parcels,53,values:26003700120000,12145525,collaborator-sheet,no automated source for county
parcels,53,assignment:26003700120000,26003700120000,collaborator-sheet,
parcels,54,assignment:7157031001,7157031001,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031002,7157031002,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031003,7157031003,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031004,7157031004,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031005,7157031005,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031006,7157031006,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031007,7157031007,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031008,7157031008,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031009,7157031009,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031010,7157031010,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031011,7157031011,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031012,7157031012,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031013,7157031013,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031014,7157031014,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031015,7157031015,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031016,7157031016,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031017,7157031017,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031018,7157031018,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031019,7157031019,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031020,7157031020,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031021,7157031021,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031022,7157031022,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031023,7157031023,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031024,7157031024,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031025,7157031025,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031026,7157031026,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031027,7157031027,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031028,7157031028,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031029,7157031029,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031030,7157031030,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031031,7157031031,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031032,7157031032,collaborator-sheet,manual_verified_multi
parcels,54,assignment:7157031033,7157031033,collaborator-sheet,manual_verified_multi
parcels,55,assignment:5409005030,5409005030,collaborator-sheet,manual_verified
parcels,56,values:5619549,31838150,collaborator-sheet,no automated source for county
parcels,56,assignment:5619549,5619549,collaborator-sheet,
parcels,58,assignment:3004004033,3004004033,collaborator-sheet,manual_verified
parcels,59,values:6954018,82453101,collaborator-sheet,no automated source for county
parcels,59,assignment:6954018,6954018,collaborator-sheet,
parcels,61,assignment:6087002036,6087002036,collaborator-sheet,manual_verified
parcels,62,assignment:5049009082,5049009082,collaborator-sheet,manual_verified
parcels,63,values:1701000273,10616112,collaborator-sheet,no automated source for county
parcels,63,assignment:1701000273,1701000273,collaborator-sheet,
parcels,64,assignment:5160009020,5160009020,collaborator-sheet,manual_verified
parcels,65,values:26324146,53482929,collaborator-sheet,no automated source for county
parcels,65,assignment:26324146,26324146,collaborator-sheet,
parcels,66,assignment:5092023021,5092023021,collaborator-sheet,manual_verified
parcels,67,values:12918108,60690000,collaborator-sheet,no automated source for county
parcels,67,assignment:12918108,12918108,collaborator-sheet,
parcels,68,assignment:2764001013,2764001013,collaborator-sheet,manual_verified
parcels,69,assignment:2731008014,2731008014,collaborator-sheet,manual_verified
parcels,70,values:006312850,3870288,collaborator-sheet,no automated source for county
parcels,70,assignment:006312850,006312850,collaborator-sheet,
parcels,70,values:006312860,4765032,collaborator-sheet,no automated source for county
